date;temperature;luminosity;co2;humidity
2018-06-05T10:55:56.274495;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:57:56.375831;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T10:59:56.405932;[24.5-26];[<200];[0-400];[45-55]
2018-06-05T11:01:56.437292;[24.5-26];[<200];[0-400];[45-55]
2018-06-05T11:03:56.494600;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T11:05:56.497003;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T11:07:56.528078;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T11:09:56.557799;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T11:11:56.585610;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T11:13:56.616165;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T11:15:56.677775;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T11:17:56.674789;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T11:19:56.715939;[23.2-24.5];[550-600];[0-400];[45-55]
2018-06-05T11:21:56.732860;[24.5-26];[600-900];[0-400];[45-55]
2018-06-05T11:23:56.760890;[23.2-24.5];[900-950];[0-400];[45-55]
2018-06-05T11:25:56.788343;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:27:56.861229;[23.2-24.5];[950-1000];[0-400];[45-55]
2018-06-05T11:29:56.871462;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:31:56.927797;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:33:56.937687;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:35:56.988564;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:37:56.991915;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:39:57.022705;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:41:57.049603;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:43:57.079268;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:45:57.140171;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:47:57.150632;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:49:57.168852;[24.5-26];[950-1000];[0-400];[45-55]
2018-06-05T11:51:57.198700;[24.5-26];[900-950];[0-400];[45-55]
2018-06-05T11:53:57.227571;[24.5-26];[600-900];[0-400];[45-55]
2018-06-05T11:55:57.257979;[24.5-26];[600-900];[0-400];[45-55]
2018-06-05T11:57:57.285007;[24.5-26];[600-900];[0-400];[45-55]
